Episode,Total Reward,Epsilon
1156,-11.399999999999979,0.010
1157,101.2,0.010
1158,99.7,0.010
1159,75.0,0.010
1160,101.2,0.010
1161,101.9,0.010
1162,101.2,0.010
1163,20.09999999999999,0.010
1164,101.8,0.010
1165,173.3,0.010
1166,101.2,0.010
1167,-10.39999999999998,0.010
1168,104.2,0.010
1169,101.8,0.010
1170,100.6,0.010
1171,101.8,0.010
1172,99.7,0.010
1173,101.8,0.010
1174,-10.39999999999998,0.010
1175,101.2,0.010
1176,99.7,0.010
1177,102.7,0.010
1178,72.9,0.010
1179,101.8,0.010
1180,104.2,0.010
1181,102.1,0.010
1182,101.2,0.010
1183,101.8,0.010
1184,104.2,0.010
1185,101.2,0.010
1186,-10.999999999999982,0.010
1187,103.6,0.010
1188,102.7,0.010
